relation_id,activator,receptor,relation_Bbox,relation_type,fig_id,fig_name,fig_file,height,width,fig_title,fig_caption,review_status,fig_path,reviewer_name
1670,EPC,AMD3100,"396.2731323242,84.1855773926,42.6169433594,78.3253326416",activate_relation,320,PMC6681686__medscimonit-25-5572-g005.jpg,,480,640,test,test,1,static/imgs/validation/,Joshua
1671,AMD3100,CXCR4,"283.428314209,164.5698242188,42.4199829102,46.3450469971",inhibit_relation,320,PMC6681686__medscimonit-25-5572-g005.jpg,,480,640,test,test,1,static/imgs/validation/,Joshua
1672,GB,PI3K,"21.110206604,313.9982910156,64.3329620361,131.2538146973",activate_relation,320,PMC6681686__medscimonit-25-5572-g005.jpg,,480,640,test,test,1,static/imgs/validation/,Joshua
6260,PI3K, AKT,"139,384,246,50",activate_relation,320,PMC6681686__medscimonit-25-5572-g005.jpg,,480,640,test,test,1,static/imgs/validation/,Joshua
6261,OPG,AMD3100,"84,124,269,29",activate_relation,320,PMC6681686__medscimonit-25-5572-g005.jpg,,480,640,test,test,1,static/imgs/validation/,Joshua
6262,LY294002,PI3K,"139,345,106,89",inhibit_relation,320,PMC6681686__medscimonit-25-5572-g005.jpg,,480,640,test,test,1,static/imgs/validation/,Joshua
6450,PI3K, AKT,"139,384,246,50",activate_relation,320,PMC6681686__medscimonit-25-5572-g005.jpg,,480,640,test,test,1,static/imgs/validation/,Joshua
5989,CADMIUM,ROS generation,"234,6,206,117.99999999999997",activate_relation,345,PMC3655991__pone.0064344.g007.jpg,,852,674,test,test,1,static/imgs/validation/,Stuart
5990,mTORC1,IRE1,"277.00000000000006,216,106,163.00000000000003",activate_relation,345,PMC3655991__pone.0064344.g007.jpg,,852,674,test,test,1,static/imgs/validation/,Stuart
5991,Kinase domain,JNK,"178,511,99.99999999999999,207.00000000000006",activate_relation,345,PMC3655991__pone.0064344.g007.jpg,,852,674,test,test,1,static/imgs/validation/,Stuart
5992,RNase domain,XBP1(S),"352,623,168,108.00",activate_relation,345,PMC3655991__pone.0064344.g007.jpg,,852,674,test,test,1,static/imgs/validation/,Stuart
5993,XBP1(S),APOPTOSIS,"250,699,270.00000000000006,144.00000000000003",inhibit_relation,345,PMC3655991__pone.0064344.g007.jpg,,852,674,test,test,1,static/imgs/validation/,Stuart
5994,JNK,APOPTOSIS,"178,701,244,142.00",activate_relation,345,PMC3655991__pone.0064344.g007.jpg,,852,674,test,test,1,static/imgs/validation/,Stuart
5995,ROS generation,mTORC1,"234,93,206,141",activate_relation,345,PMC3655991__pone.0064344.g007.jpg,,852,674,test,test,1,static/imgs/validation/,Stuart
6672, CBF1,CBF1,"178.00000000000003,931,353.99999999999994,49.00000000000006",activate_relation,375,PMC3365567__nihms378339f1.jpg,,1050,782,test,test,1,static/imgs/validation/,Stuart
6685,NICD,NICD,"421,428,82.99999999999997,460.9999999999999",activate_relation,375,PMC3365567__nihms378339f1.jpg,,1050,782,test,test,1,static/imgs/validation/,Stuart
6686,CBF1, HES,"419,931,194.99999999999997,99.00000000000004",activate_relation,375,PMC3365567__nihms378339f1.jpg,,1050,782,test,test,1,static/imgs/validation/,Stuart
2051,TGFBS,TGFBR2,"303.2925109863,13.9496135712,28.662902832,73.2517242432",activate_relation,386,PMC5541090__41598_2017_6522_Fig1_HTML.jpg,,571,675,test,test,1,static/imgs/validation/,Yijie
2052,SMAD3,TRANSCRIPTION,"233.927520752,191.0789489746,129.1329040527,198.3159484863",activate_relation,386,PMC5541090__41598_2017_6522_Fig1_HTML.jpg,,571,675,test,test,1,static/imgs/validation/,Yijie
2055,NREP,TGFBS,"434.5741882324,5.5887331963,105.354095459,24.095457077",activate_relation,386,PMC5541090__41598_2017_6522_Fig1_HTML.jpg,,571,675,test,test,1,static/imgs/validation/,Yijie
2057,TGFBR2,SMAD2,"248.2080078125,110.8598709106,111.3030395508,29.3692398071",activate_relation,386,PMC5541090__41598_2017_6522_Fig1_HTML.jpg,,571,675,test,test,1,static/imgs/validation/,Yijie
6154,TGFBS,TGFBR1,"202,11.000000000000002,202,95",activate_relation,386,PMC5541090__41598_2017_6522_Fig1_HTML.jpg,,571,675,test,test,1,static/imgs/validation/,Yijie
6155,TGFBR1,SMAD2,"202,96,176.99999999999997,67",activate_relation,386,PMC5541090__41598_2017_6522_Fig1_HTML.jpg,,571,675,test,test,1,static/imgs/validation/,Yijie
5996,PMA,Activin A,"233,19,133,901.9999999999998",activate_relation,390,PMC4074601__nihms577797f8.jpg,,1050,932,test,test,1,static/imgs/validation/,Stuart
5997,Activin A,SMAD2,"470,11,153.99999999999994,234.00000000000006",activate_relation,390,PMC4074601__nihms577797f8.jpg,,1050,932,test,test,1,static/imgs/validation/,Stuart
5998,SMAD2,SMAD2,"500,212,123.99999999999997,185.99999999999997",activate_relation,390,PMC4074601__nihms577797f8.jpg,,1050,932,test,test,1,static/imgs/validation/,Stuart
5999,SMAD2,SMAD2,"499,365,82,289.99999999999994",activate_relation,390,PMC4074601__nihms577797f8.jpg,,1050,932,test,test,1,static/imgs/validation/,Stuart
6000,SMAD2,SNON,"499,618,272.99999999999994,159.00000000000009",activate_relation,390,PMC4074601__nihms577797f8.jpg,,1050,932,test,test,1,static/imgs/validation/,Stuart
6001,SNON,SNON,"520,751.0000000000001,251.99999999999991,26.00000000000002",activate_relation,390,PMC4074601__nihms577797f8.jpg,,1050,932,test,test,1,static/imgs/validation/,Stuart
6002,APCCDH1,SNON,"661,592,110.99999999999989,185.00000000000006",activate_relation,390,PMC4074601__nihms577797f8.jpg,,1050,932,test,test,1,static/imgs/validation/,Stuart
6003,SNON,CD61,"520,751.9999999999999,152.99999999999994,160.00000000000009",inhibit_relation,390,PMC4074601__nihms577797f8.jpg,,1050,932,test,test,1,static/imgs/validation/,Stuart
6004,RNAP II,CD61,"481,868,192,44.00000000000003",activate_relation,390,PMC4074601__nihms577797f8.jpg,,1050,932,test,test,1,static/imgs/validation/,Stuart
